Date,Category,Setting,Count
03/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,119
04/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,112
05/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,91
06/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,85
07/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,90
08/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,89
09/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,80
10/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,85
11/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,107
12/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,121
01/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,106
02/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,111
03/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,125
04/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,113
05/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,88
06/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,87
07/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,78
08/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,80
09/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,84
10/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,78
11/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,97
12/2019,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,110
01/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,108
02/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,85
03/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,114
04/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,114
05/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,111
06/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,99
07/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,87
08/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,116
09/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,82
10/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,93
11/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,109
12/2020,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,152
01/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,129
02/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,111
03/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,97
04/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,90
05/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,82
06/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,74
07/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,76
08/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,93
09/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,85
10/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,98
11/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,105
12/2021,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,103
04/2020,COVID-19,Emergency Dept,66
05/2020,COVID-19,Emergency Dept,50
06/2020,COVID-19,Emergency Dept,62
07/2020,COVID-19,Emergency Dept,127
08/2020,COVID-19,Emergency Dept,98
09/2020,COVID-19,Emergency Dept,48
10/2020,COVID-19,Emergency Dept,35
11/2020,COVID-19,Emergency Dept,126
12/2020,COVID-19,Emergency Dept,590
01/2021,COVID-19,Emergency Dept,519
02/2021,COVID-19,Emergency Dept,124
03/2021,COVID-19,Emergency Dept,42
04/2021,COVID-19,Emergency Dept,26
05/2021,COVID-19,Emergency Dept,12
06/2021,COVID-19,Emergency Dept,13
07/2021,COVID-19,Emergency Dept,33
08/2021,COVID-19,Emergency Dept,123
09/2021,COVID-19,Emergency Dept,102
10/2021,COVID-19,Emergency Dept,68
11/2021,COVID-19,Emergency Dept,68
12/2021,COVID-19,Emergency Dept,65
01/2018,Depression,Emergency Dept,47
02/2018,Depression,Emergency Dept,30
03/2018,Depression,Emergency Dept,31
04/2018,Depression,Emergency Dept,37
05/2018,Depression,Emergency Dept,39
06/2018,Depression,Emergency Dept,39
07/2018,Depression,Emergency Dept,30
08/2018,Depression,Emergency Dept,35
09/2018,Depression,Emergency Dept,33
10/2018,Depression,Emergency Dept,27
11/2018,Depression,Emergency Dept,35
12/2018,Depression,Emergency Dept,51
01/2019,Depression,Emergency Dept,54
02/2019,Depression,Emergency Dept,36
03/2019,Depression,Emergency Dept,40
04/2019,Depression,Emergency Dept,28
05/2019,Depression,Emergency Dept,33
06/2019,Depression,Emergency Dept,39
07/2019,Depression,Emergency Dept,39
08/2019,Depression,Emergency Dept,41
09/2019,Depression,Emergency Dept,32
10/2019,Depression,Emergency Dept,24
11/2019,Depression,Emergency Dept,35
12/2019,Depression,Emergency Dept,37
01/2020,Depression,Emergency Dept,41
02/2020,Depression,Emergency Dept,44
03/2020,Depression,Emergency Dept,44
04/2020,Depression,Emergency Dept,36
05/2020,Depression,Emergency Dept,35
06/2020,Depression,Emergency Dept,44
07/2020,Depression,Emergency Dept,50
08/2020,Depression,Emergency Dept,58
09/2020,Depression,Emergency Dept,45
10/2020,Depression,Emergency Dept,46
11/2020,Depression,Emergency Dept,41
12/2020,Depression,Emergency Dept,48
01/2021,Depression,Emergency Dept,49
02/2021,Depression,Emergency Dept,51
03/2021,Depression,Emergency Dept,40
04/2021,Depression,Emergency Dept,39
05/2021,Depression,Emergency Dept,25
06/2021,Depression,Emergency Dept,38
07/2021,Depression,Emergency Dept,26
08/2021,Depression,Emergency Dept,38
09/2021,Depression,Emergency Dept,37
10/2021,Depression,Emergency Dept,35
11/2021,Depression,Emergency Dept,25
12/2021,Depression,Emergency Dept,33
01/2018,Diabetes,Emergency Dept,451
02/2018,Diabetes,Emergency Dept,322
03/2018,Diabetes,Emergency Dept,367
04/2018,Diabetes,Emergency Dept,339
05/2018,Diabetes,Emergency Dept,323
06/2018,Diabetes,Emergency Dept,258
07/2018,Diabetes,Emergency Dept,290
08/2018,Diabetes,Emergency Dept,261
09/2018,Diabetes,Emergency Dept,277
10/2018,Diabetes,Emergency Dept,292
11/2018,Diabetes,Emergency Dept,317
12/2018,Diabetes,Emergency Dept,377
01/2019,Diabetes,Emergency Dept,398
02/2019,Diabetes,Emergency Dept,326
03/2019,Diabetes,Emergency Dept,370
04/2019,Diabetes,Emergency Dept,306
05/2019,Diabetes,Emergency Dept,291
06/2019,Diabetes,Emergency Dept,301
07/2019,Diabetes,Emergency Dept,241
08/2019,Diabetes,Emergency Dept,240
09/2019,Diabetes,Emergency Dept,240
10/2019,Diabetes,Emergency Dept,262
11/2019,Diabetes,Emergency Dept,287
12/2019,Diabetes,Emergency Dept,333
01/2020,Diabetes,Emergency Dept,342
02/2020,Diabetes,Emergency Dept,305
03/2020,Diabetes,Emergency Dept,346
04/2020,Diabetes,Emergency Dept,397
05/2020,Diabetes,Emergency Dept,347
06/2020,Diabetes,Emergency Dept,338
07/2020,Diabetes,Emergency Dept,394
08/2020,Diabetes,Emergency Dept,351
09/2020,Diabetes,Emergency Dept,334
10/2020,Diabetes,Emergency Dept,284
11/2020,Diabetes,Emergency Dept,394
12/2020,Diabetes,Emergency Dept,679
01/2021,Diabetes,Emergency Dept,649
02/2021,Diabetes,Emergency Dept,398
03/2021,Diabetes,Emergency Dept,353
04/2021,Diabetes,Emergency Dept,279
05/2021,Diabetes,Emergency Dept,269
06/2021,Diabetes,Emergency Dept,290
07/2021,Diabetes,Emergency Dept,291
08/2021,Diabetes,Emergency Dept,322
09/2021,Diabetes,Emergency Dept,313
10/2021,Diabetes,Emergency Dept,329
11/2021,Diabetes,Emergency Dept,333
12/2021,Diabetes,Emergency Dept,373
01/2018,Homeless,Emergency Dept,9
02/2018,Homeless,Emergency Dept,5
03/2018,Homeless,Emergency Dept,6
04/2018,Homeless,Emergency Dept,4
06/2018,Homeless,Emergency Dept,3
07/2018,Homeless,Emergency Dept,4
08/2018,Homeless,Emergency Dept,4
09/2018,Homeless,Emergency Dept,4
10/2018,Homeless,Emergency Dept,11
11/2018,Homeless,Emergency Dept,4
12/2018,Homeless,Emergency Dept,10
01/2019,Homeless,Emergency Dept,25
02/2019,Homeless,Emergency Dept,27
03/2019,Homeless,Emergency Dept,24
04/2019,Homeless,Emergency Dept,22
05/2019,Homeless,Emergency Dept,27
06/2019,Homeless,Emergency Dept,26
07/2019,Homeless,Emergency Dept,24
08/2019,Homeless,Emergency Dept,27
09/2019,Homeless,Emergency Dept,23
10/2019,Homeless,Emergency Dept,17
11/2019,Homeless,Emergency Dept,23
12/2019,Homeless,Emergency Dept,38
01/2020,Homeless,Emergency Dept,39
02/2020,Homeless,Emergency Dept,31
03/2020,Homeless,Emergency Dept,22
04/2020,Homeless,Emergency Dept,27
05/2020,Homeless,Emergency Dept,30
06/2020,Homeless,Emergency Dept,30
07/2020,Homeless,Emergency Dept,38
08/2020,Homeless,Emergency Dept,37
09/2020,Homeless,Emergency Dept,31
10/2020,Homeless,Emergency Dept,30
11/2020,Homeless,Emergency Dept,32
12/2020,Homeless,Emergency Dept,46
01/2021,Homeless,Emergency Dept,40
02/2021,Homeless,Emergency Dept,19
03/2021,Homeless,Emergency Dept,31
04/2021,Homeless,Emergency Dept,27
05/2021,Homeless,Emergency Dept,28
06/2021,Homeless,Emergency Dept,28
07/2021,Homeless,Emergency Dept,38
08/2021,Homeless,Emergency Dept,35
09/2021,Homeless,Emergency Dept,33
10/2021,Homeless,Emergency Dept,43
11/2021,Homeless,Emergency Dept,19
12/2021,Homeless,Emergency Dept,54
01/2018,Hypertension,Emergency Dept,715
02/2018,Hypertension,Emergency Dept,561
03/2018,Hypertension,Emergency Dept,576
04/2018,Hypertension,Emergency Dept,514
05/2018,Hypertension,Emergency Dept,543
06/2018,Hypertension,Emergency Dept,453
07/2018,Hypertension,Emergency Dept,482
08/2018,Hypertension,Emergency Dept,439
09/2018,Hypertension,Emergency Dept,452
10/2018,Hypertension,Emergency Dept,479
11/2018,Hypertension,Emergency Dept,540
12/2018,Hypertension,Emergency Dept,584
01/2019,Hypertension,Emergency Dept,618
02/2019,Hypertension,Emergency Dept,562
03/2019,Hypertension,Emergency Dept,569
04/2019,Hypertension,Emergency Dept,467
05/2019,Hypertension,Emergency Dept,467
06/2019,Hypertension,Emergency Dept,478
07/2019,Hypertension,Emergency Dept,421
08/2019,Hypertension,Emergency Dept,442
09/2019,Hypertension,Emergency Dept,412
10/2019,Hypertension,Emergency Dept,438
11/2019,Hypertension,Emergency Dept,472
12/2019,Hypertension,Emergency Dept,560
01/2020,Hypertension,Emergency Dept,569
02/2020,Hypertension,Emergency Dept,501
03/2020,Hypertension,Emergency Dept,585
04/2020,Hypertension,Emergency Dept,603
05/2020,Hypertension,Emergency Dept,546
06/2020,Hypertension,Emergency Dept,515
07/2020,Hypertension,Emergency Dept,626
08/2020,Hypertension,Emergency Dept,575
09/2020,Hypertension,Emergency Dept,505
10/2020,Hypertension,Emergency Dept,506
11/2020,Hypertension,Emergency Dept,635
12/2020,Hypertension,Emergency Dept,1013
01/2021,Hypertension,Emergency Dept,938
02/2021,Hypertension,Emergency Dept,598
03/2021,Hypertension,Emergency Dept,549
04/2021,Hypertension,Emergency Dept,461
05/2021,Hypertension,Emergency Dept,427
06/2021,Hypertension,Emergency Dept,475
07/2021,Hypertension,Emergency Dept,463
08/2021,Hypertension,Emergency Dept,516
09/2021,Hypertension,Emergency Dept,502
10/2021,Hypertension,Emergency Dept,520
11/2021,Hypertension,Emergency Dept,494
12/2021,Hypertension,Emergency Dept,607
01/2018,Mood Disorders (Excluding Depression),Emergency Dept,6
02/2018,Mood Disorders (Excluding Depression),Emergency Dept,2
03/2018,Mood Disorders (Excluding Depression),Emergency Dept,7
04/2018,Mood Disorders (Excluding Depression),Emergency Dept,7
05/2018,Mood Disorders (Excluding Depression),Emergency Dept,8
06/2018,Mood Disorders (Excluding Depression),Emergency Dept,8
07/2018,Mood Disorders (Excluding Depression),Emergency Dept,7
08/2018,Mood Disorders (Excluding Depression),Emergency Dept,12
09/2018,Mood Disorders (Excluding Depression),Emergency Dept,10
10/2018,Mood Disorders (Excluding Depression),Emergency Dept,7
11/2018,Mood Disorders (Excluding Depression),Emergency Dept,13
12/2018,Mood Disorders (Excluding Depression),Emergency Dept,5
01/2019,Mood Disorders (Excluding Depression),Emergency Dept,11
02/2019,Mood Disorders (Excluding Depression),Emergency Dept,4
03/2019,Mood Disorders (Excluding Depression),Emergency Dept,8
04/2019,Mood Disorders (Excluding Depression),Emergency Dept,9
05/2019,Mood Disorders (Excluding Depression),Emergency Dept,5
06/2019,Mood Disorders (Excluding Depression),Emergency Dept,9
07/2019,Mood Disorders (Excluding Depression),Emergency Dept,6
08/2019,Mood Disorders (Excluding Depression),Emergency Dept,3
09/2019,Mood Disorders (Excluding Depression),Emergency Dept,9
10/2019,Mood Disorders (Excluding Depression),Emergency Dept,4
11/2019,Mood Disorders (Excluding Depression),Emergency Dept,5
12/2019,Mood Disorders (Excluding Depression),Emergency Dept,9
01/2020,Mood Disorders (Excluding Depression),Emergency Dept,13
02/2020,Mood Disorders (Excluding Depression),Emergency Dept,5
03/2020,Mood Disorders (Excluding Depression),Emergency Dept,8
04/2020,Mood Disorders (Excluding Depression),Emergency Dept,10
05/2020,Mood Disorders (Excluding Depression),Emergency Dept,9
06/2020,Mood Disorders (Excluding Depression),Emergency Dept,9
07/2020,Mood Disorders (Excluding Depression),Emergency Dept,9
08/2020,Mood Disorders (Excluding Depression),Emergency Dept,14
09/2020,Mood Disorders (Excluding Depression),Emergency Dept,5
10/2020,Mood Disorders (Excluding Depression),Emergency Dept,4
11/2020,Mood Disorders (Excluding Depression),Emergency Dept,12
12/2020,Mood Disorders (Excluding Depression),Emergency Dept,15
01/2021,Mood Disorders (Excluding Depression),Emergency Dept,14
02/2021,Mood Disorders (Excluding Depression),Emergency Dept,4
03/2021,Mood Disorders (Excluding Depression),Emergency Dept,11
04/2021,Mood Disorders (Excluding Depression),Emergency Dept,7
05/2021,Mood Disorders (Excluding Depression),Emergency Dept,9
06/2021,Mood Disorders (Excluding Depression),Emergency Dept,9
07/2021,Mood Disorders (Excluding Depression),Emergency Dept,12
08/2021,Mood Disorders (Excluding Depression),Emergency Dept,4
09/2021,Mood Disorders (Excluding Depression),Emergency Dept,3
10/2021,Mood Disorders (Excluding Depression),Emergency Dept,8
11/2021,Mood Disorders (Excluding Depression),Emergency Dept,3
12/2021,Mood Disorders (Excluding Depression),Emergency Dept,8
01/2018,Non-Mood Psychotic Disorders,Emergency Dept,11
02/2018,Non-Mood Psychotic Disorders,Emergency Dept,4
03/2018,Non-Mood Psychotic Disorders,Emergency Dept,6
04/2018,Non-Mood Psychotic Disorders,Emergency Dept,4
05/2018,Non-Mood Psychotic Disorders,Emergency Dept,11
06/2018,Non-Mood Psychotic Disorders,Emergency Dept,9
07/2018,Non-Mood Psychotic Disorders,Emergency Dept,7
08/2018,Non-Mood Psychotic Disorders,Emergency Dept,10
09/2018,Non-Mood Psychotic Disorders,Emergency Dept,10
10/2018,Non-Mood Psychotic Disorders,Emergency Dept,6
11/2018,Non-Mood Psychotic Disorders,Emergency Dept,6
12/2018,Non-Mood Psychotic Disorders,Emergency Dept,13
01/2019,Non-Mood Psychotic Disorders,Emergency Dept,16
02/2019,Non-Mood Psychotic Disorders,Emergency Dept,6
03/2019,Non-Mood Psychotic Disorders,Emergency Dept,14
04/2019,Non-Mood Psychotic Disorders,Emergency Dept,12
05/2019,Non-Mood Psychotic Disorders,Emergency Dept,9
06/2019,Non-Mood Psychotic Disorders,Emergency Dept,7
07/2019,Non-Mood Psychotic Disorders,Emergency Dept,8
08/2019,Non-Mood Psychotic Disorders,Emergency Dept,12
09/2019,Non-Mood Psychotic Disorders,Emergency Dept,11
10/2019,Non-Mood Psychotic Disorders,Emergency Dept,8
11/2019,Non-Mood Psychotic Disorders,Emergency Dept,9
12/2019,Non-Mood Psychotic Disorders,Emergency Dept,14
01/2020,Non-Mood Psychotic Disorders,Emergency Dept,17
02/2020,Non-Mood Psychotic Disorders,Emergency Dept,8
03/2020,Non-Mood Psychotic Disorders,Emergency Dept,11
04/2020,Non-Mood Psychotic Disorders,Emergency Dept,9
05/2020,Non-Mood Psychotic Disorders,Emergency Dept,10
06/2020,Non-Mood Psychotic Disorders,Emergency Dept,9
07/2020,Non-Mood Psychotic Disorders,Emergency Dept,17
08/2020,Non-Mood Psychotic Disorders,Emergency Dept,10
09/2020,Non-Mood Psychotic Disorders,Emergency Dept,10
10/2020,Non-Mood Psychotic Disorders,Emergency Dept,13
11/2020,Non-Mood Psychotic Disorders,Emergency Dept,9
12/2020,Non-Mood Psychotic Disorders,Emergency Dept,19
01/2021,Non-Mood Psychotic Disorders,Emergency Dept,17
02/2021,Non-Mood Psychotic Disorders,Emergency Dept,17
03/2021,Non-Mood Psychotic Disorders,Emergency Dept,13
04/2021,Non-Mood Psychotic Disorders,Emergency Dept,8
05/2021,Non-Mood Psychotic Disorders,Emergency Dept,11
06/2021,Non-Mood Psychotic Disorders,Emergency Dept,9
07/2021,Non-Mood Psychotic Disorders,Emergency Dept,12
08/2021,Non-Mood Psychotic Disorders,Emergency Dept,11
09/2021,Non-Mood Psychotic Disorders,Emergency Dept,7
10/2021,Non-Mood Psychotic Disorders,Emergency Dept,11
11/2021,Non-Mood Psychotic Disorders,Emergency Dept,12
12/2021,Non-Mood Psychotic Disorders,Emergency Dept,8
01/2018,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
02/2018,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,2
03/2018,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,2
04/2018,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
07/2018,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,2
09/2018,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,3
10/2018,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
02/2019,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
04/2019,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
06/2019,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
09/2019,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,2
12/2019,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
07/2020,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
09/2020,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
11/2020,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
12/2020,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,2
01/2021,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,3
02/2021,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,2
06/2021,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
08/2021,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,2
09/2021,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,1
10/2021,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,4
11/2021,Nonpsychotic Disorders (Excluding Anxiety),Emergency Dept,2
01/2018,Obesity,Emergency Dept,59
02/2018,Obesity,Emergency Dept,56
03/2018,Obesity,Emergency Dept,47
04/2018,Obesity,Emergency Dept,55
05/2018,Obesity,Emergency Dept,51
06/2018,Obesity,Emergency Dept,37
07/2018,Obesity,Emergency Dept,44
08/2018,Obesity,Emergency Dept,40
09/2018,Obesity,Emergency Dept,35
10/2018,Obesity,Emergency Dept,36
11/2018,Obesity,Emergency Dept,56
12/2018,Obesity,Emergency Dept,56
01/2019,Obesity,Emergency Dept,69
02/2019,Obesity,Emergency Dept,53
03/2019,Obesity,Emergency Dept,56
04/2019,Obesity,Emergency Dept,45
05/2019,Obesity,Emergency Dept,38
06/2019,Obesity,Emergency Dept,35
07/2019,Obesity,Emergency Dept,35
08/2019,Obesity,Emergency Dept,43
09/2019,Obesity,Emergency Dept,39
10/2019,Obesity,Emergency Dept,31
11/2019,Obesity,Emergency Dept,41
12/2019,Obesity,Emergency Dept,56
01/2020,Obesity,Emergency Dept,46
02/2020,Obesity,Emergency Dept,47
03/2020,Obesity,Emergency Dept,52
04/2020,Obesity,Emergency Dept,61
05/2020,Obesity,Emergency Dept,67
06/2020,Obesity,Emergency Dept,58
07/2020,Obesity,Emergency Dept,68
08/2020,Obesity,Emergency Dept,55
09/2020,Obesity,Emergency Dept,49
10/2020,Obesity,Emergency Dept,50
11/2020,Obesity,Emergency Dept,64
12/2020,Obesity,Emergency Dept,135
01/2021,Obesity,Emergency Dept,107
02/2021,Obesity,Emergency Dept,66
03/2021,Obesity,Emergency Dept,73
04/2021,Obesity,Emergency Dept,44
05/2021,Obesity,Emergency Dept,47
06/2021,Obesity,Emergency Dept,38
07/2021,Obesity,Emergency Dept,46
08/2021,Obesity,Emergency Dept,63
09/2021,Obesity,Emergency Dept,65
10/2021,Obesity,Emergency Dept,62
11/2021,Obesity,Emergency Dept,64
12/2021,Obesity,Emergency Dept,63
01/2018,Pneumonia,Emergency Dept,118
02/2018,Pneumonia,Emergency Dept,79
03/2018,Pneumonia,Emergency Dept,82
04/2018,Pneumonia,Emergency Dept,58
05/2018,Pneumonia,Emergency Dept,62
06/2018,Pneumonia,Emergency Dept,41
07/2018,Pneumonia,Emergency Dept,46
08/2018,Pneumonia,Emergency Dept,65
09/2018,Pneumonia,Emergency Dept,61
10/2018,Pneumonia,Emergency Dept,56
11/2018,Pneumonia,Emergency Dept,72
12/2018,Pneumonia,Emergency Dept,84
01/2019,Pneumonia,Emergency Dept,88
02/2019,Pneumonia,Emergency Dept,66
03/2019,Pneumonia,Emergency Dept,99
04/2019,Pneumonia,Emergency Dept,72
05/2019,Pneumonia,Emergency Dept,68
06/2019,Pneumonia,Emergency Dept,70
07/2019,Pneumonia,Emergency Dept,62
08/2019,Pneumonia,Emergency Dept,52
09/2019,Pneumonia,Emergency Dept,48
10/2019,Pneumonia,Emergency Dept,63
11/2019,Pneumonia,Emergency Dept,59
12/2019,Pneumonia,Emergency Dept,73
01/2020,Pneumonia,Emergency Dept,97
02/2020,Pneumonia,Emergency Dept,81
03/2020,Pneumonia,Emergency Dept,107
04/2020,Pneumonia,Emergency Dept,128
05/2020,Pneumonia,Emergency Dept,96
06/2020,Pneumonia,Emergency Dept,95
07/2020,Pneumonia,Emergency Dept,138
08/2020,Pneumonia,Emergency Dept,91
09/2020,Pneumonia,Emergency Dept,73
10/2020,Pneumonia,Emergency Dept,72
11/2020,Pneumonia,Emergency Dept,139
12/2020,Pneumonia,Emergency Dept,354
01/2021,Pneumonia,Emergency Dept,271
02/2021,Pneumonia,Emergency Dept,132
03/2021,Pneumonia,Emergency Dept,84
04/2021,Pneumonia,Emergency Dept,64
05/2021,Pneumonia,Emergency Dept,66
06/2021,Pneumonia,Emergency Dept,54
07/2021,Pneumonia,Emergency Dept,80
08/2021,Pneumonia,Emergency Dept,106
09/2021,Pneumonia,Emergency Dept,108
10/2021,Pneumonia,Emergency Dept,101
11/2021,Pneumonia,Emergency Dept,117
12/2021,Pneumonia,Emergency Dept,93
01/2018,Respiratory Arrest/Failure,Emergency Dept,263
02/2018,Respiratory Arrest/Failure,Emergency Dept,186
03/2018,Respiratory Arrest/Failure,Emergency Dept,197
04/2018,Respiratory Arrest/Failure,Emergency Dept,173
05/2018,Respiratory Arrest/Failure,Emergency Dept,176
06/2018,Respiratory Arrest/Failure,Emergency Dept,160
07/2018,Respiratory Arrest/Failure,Emergency Dept,165
08/2018,Respiratory Arrest/Failure,Emergency Dept,148
09/2018,Respiratory Arrest/Failure,Emergency Dept,148
10/2018,Respiratory Arrest/Failure,Emergency Dept,137
11/2018,Respiratory Arrest/Failure,Emergency Dept,190
12/2018,Respiratory Arrest/Failure,Emergency Dept,224
01/2019,Respiratory Arrest/Failure,Emergency Dept,226
02/2019,Respiratory Arrest/Failure,Emergency Dept,227
03/2019,Respiratory Arrest/Failure,Emergency Dept,219
04/2019,Respiratory Arrest/Failure,Emergency Dept,182
05/2019,Respiratory Arrest/Failure,Emergency Dept,181
06/2019,Respiratory Arrest/Failure,Emergency Dept,166
07/2019,Respiratory Arrest/Failure,Emergency Dept,169
08/2019,Respiratory Arrest/Failure,Emergency Dept,167
09/2019,Respiratory Arrest/Failure,Emergency Dept,143
10/2019,Respiratory Arrest/Failure,Emergency Dept,180
11/2019,Respiratory Arrest/Failure,Emergency Dept,167
12/2019,Respiratory Arrest/Failure,Emergency Dept,224
01/2020,Respiratory Arrest/Failure,Emergency Dept,252
02/2020,Respiratory Arrest/Failure,Emergency Dept,185
03/2020,Respiratory Arrest/Failure,Emergency Dept,270
04/2020,Respiratory Arrest/Failure,Emergency Dept,279
05/2020,Respiratory Arrest/Failure,Emergency Dept,246
06/2020,Respiratory Arrest/Failure,Emergency Dept,213
07/2020,Respiratory Arrest/Failure,Emergency Dept,286
08/2020,Respiratory Arrest/Failure,Emergency Dept,271
09/2020,Respiratory Arrest/Failure,Emergency Dept,214
10/2020,Respiratory Arrest/Failure,Emergency Dept,243
11/2020,Respiratory Arrest/Failure,Emergency Dept,325
12/2020,Respiratory Arrest/Failure,Emergency Dept,542
01/2021,Respiratory Arrest/Failure,Emergency Dept,496
02/2021,Respiratory Arrest/Failure,Emergency Dept,267
03/2021,Respiratory Arrest/Failure,Emergency Dept,250
04/2021,Respiratory Arrest/Failure,Emergency Dept,187
05/2021,Respiratory Arrest/Failure,Emergency Dept,189
06/2021,Respiratory Arrest/Failure,Emergency Dept,201
07/2021,Respiratory Arrest/Failure,Emergency Dept,223
08/2021,Respiratory Arrest/Failure,Emergency Dept,253
09/2021,Respiratory Arrest/Failure,Emergency Dept,246
10/2021,Respiratory Arrest/Failure,Emergency Dept,239
11/2021,Respiratory Arrest/Failure,Emergency Dept,265
12/2021,Respiratory Arrest/Failure,Emergency Dept,262
01/2018,Sepsis,Emergency Dept,159
02/2018,Sepsis,Emergency Dept,111
03/2018,Sepsis,Emergency Dept,110
04/2018,Sepsis,Emergency Dept,97
05/2018,Sepsis,Emergency Dept,86
06/2018,Sepsis,Emergency Dept,84
07/2018,Sepsis,Emergency Dept,77
08/2018,Sepsis,Emergency Dept,65
09/2018,Sepsis,Emergency Dept,69
10/2018,Sepsis,Emergency Dept,76
11/2018,Sepsis,Emergency Dept,111
12/2018,Sepsis,Emergency Dept,123
01/2019,Sepsis,Emergency Dept,115
02/2019,Sepsis,Emergency Dept,105
03/2019,Sepsis,Emergency Dept,119
04/2019,Sepsis,Emergency Dept,85
05/2019,Sepsis,Emergency Dept,84
06/2019,Sepsis,Emergency Dept,87
07/2019,Sepsis,Emergency Dept,74
08/2019,Sepsis,Emergency Dept,78
09/2019,Sepsis,Emergency Dept,63
10/2019,Sepsis,Emergency Dept,88
11/2019,Sepsis,Emergency Dept,96
12/2019,Sepsis,Emergency Dept,106
01/2020,Sepsis,Emergency Dept,140
02/2020,Sepsis,Emergency Dept,104
03/2020,Sepsis,Emergency Dept,145
04/2020,Sepsis,Emergency Dept,148
05/2020,Sepsis,Emergency Dept,124
06/2020,Sepsis,Emergency Dept,114
07/2020,Sepsis,Emergency Dept,160
